@relation 'tesco-21200475-weka.filters.unsupervised.attribute.Remove-R1-13,15-48,66-77'

@attribute carb numeric
@attribute f_beer numeric
@attribute f_dairy numeric
@attribute f_eggs numeric
@attribute f_fats_oils numeric
@attribute f_fish numeric
@attribute f_fruit_veg numeric
@attribute f_grains numeric
@attribute f_meat_red numeric
@attribute f_poultry numeric
@attribute f_readymade numeric
@attribute f_sauces numeric
@attribute f_soft_drinks numeric
@attribute f_spirits numeric
@attribute f_sweets numeric
@attribute f_tea_coffee numeric
@attribute f_water numeric
@attribute f_wine numeric

@data
19.471445,0.013617,0.09654,0.009073,0.02417,0.017822,0.249771,0.164186,0.049942,0.021484,0.074687,0.015946,0.0337,0.00316,0.170629,0.006158,0.034421,0.014695
18.893397,0.011514,0.096982,0.010641,0.029895,0.016013,0.275911,0.16441,0.040581,0.019225,0.069943,0.010685,0.035371,0.003596,0.172076,0.00592,0.027009,0.010227
17.808745,0.012068,0.121668,0.012695,0.032307,0.018377,0.308216,0.142575,0.044898,0.018701,0.049826,0.015859,0.02395,0.002861,0.148055,0.004988,0.027693,0.015264
18.220373,0.007846,0.105017,0.010257,0.02127,0.024257,0.324768,0.142446,0.029259,0.024545,0.069279,0.010833,0.018247,0.002195,0.166595,0.006298,0.024545,0.012344
16.312689,0.012748,0.113954,0.014547,0.032847,0.026709,0.320368,0.131699,0.052163,0.021069,0.047097,0.01545,0.022489,0.00223,0.135308,0.005535,0.029377,0.016409
16.822266,0.025968,0.121744,0.010283,0.025388,0.016968,0.274161,0.143605,0.044759,0.015943,0.066989,0.014871,0.029671,0.003176,0.148081,0.005648,0.026976,0.025769
18.008158,0.016968,0.110285,0.009615,0.030587,0.018581,0.278291,0.14037,0.052454,0.022167,0.059355,0.020709,0.022708,0.003176,0.163411,0.005317,0.022059,0.023948
19.398289,0.015094,0.114094,0.008757,0.026529,0.014374,0.238524,0.157481,0.05186,0.02164,0.065229,0.013982,0.028604,0.002503,0.188477,0.004818,0.028661,0.019371
17.104557,0.013459,0.10765,0.015121,0.03349,0.027298,0.300425,0.144474,0.049582,0.021991,0.048306,0.014389,0.02402,0.002882,0.138601,0.00632,0.034368,0.017624
18.100188,0.014269,0.09798,0.011474,0.032164,0.024092,0.270839,0.143009,0.065817,0.026237,0.057499,0.020771,0.025316,0.003197,0.158061,0.004783,0.022745,0.021747
18.218863,0.011974,0.104214,0.013856,0.036973,0.025822,0.265815,0.149847,0.053594,0.021343,0.046174,0.016067,0.034936,0.004181,0.14818,0.006823,0.048257,0.011945
20.35182,0.009214,0.108629,0.008604,0.022009,0.014848,0.217577,0.168022,0.03837,0.015875,0.079182,0.012031,0.042824,0.00605,0.207321,0.005898,0.036219,0.007327
19.077471,0.024354,0.096229,0.009623,0.024377,0.014738,0.234445,0.164802,0.041121,0.015511,0.0655,0.013607,0.044376,0.003522,0.183992,0.005857,0.030864,0.027083
19.8464,0.008643,0.108931,0.014149,0.032484,0.021697,0.2444,0.167908,0.052075,0.022894,0.048886,0.014753,0.035533,0.00332,0.167154,0.005954,0.043328,0.007891
15.709293,0.00949,0.111152,0.017544,0.029923,0.027933,0.360895,0.119146,0.047017,0.020256,0.040928,0.01099,0.019423,0.004484,0.133268,0.006455,0.02524,0.015857
17.845624,0.012749,0.095617,0.010374,0.029262,0.024423,0.301354,0.146067,0.039094,0.015575,0.047089,0.012163,0.03918,0.004367,0.147154,0.010895,0.054067,0.01057
18.566241,0.007925,0.098592,0.010745,0.021987,0.01726,0.298318,0.163678,0.030507,0.01432,0.072136,0.009593,0.030825,0.004211,0.171622,0.005422,0.035592,0.007269
20.322764,0.009826,0.082473,0.006409,0.016094,0.017931,0.236912,0.174039,0.046316,0.020705,0.099337,0.01382,0.02976,0.005163,0.196324,0.006987,0.024121,0.013782
18.598837,0.021932,0.103279,0.013391,0.028817,0.017766,0.242999,0.157449,0.051767,0.019771,0.057605,0.0162,0.037803,0.004677,0.168308,0.00557,0.033224,0.01944
18.043766,0.010183,0.109026,0.015959,0.035524,0.026435,0.277676,0.145684,0.055711,0.022833,0.045172,0.016725,0.030844,0.003795,0.150065,0.006951,0.037415,0.010002
17.834301,0.017128,0.101753,0.010977,0.030537,0.021579,0.273701,0.146481,0.055701,0.022718,0.053527,0.017679,0.036628,0.003518,0.148745,0.006275,0.037221,0.015833
20.470012,0.014101,0.096448,0.007415,0.020477,0.011521,0.234484,0.178276,0.040111,0.015382,0.09455,0.010661,0.032241,0.003667,0.19387,0.00516,0.025605,0.016031
16.802619,0.017354,0.106337,0.010488,0.027638,0.02404,0.306713,0.145674,0.044647,0.018482,0.062638,0.013892,0.025499,0.003627,0.1382,0.005378,0.029807,0.019586
17.185015,0.012922,0.106556,0.013431,0.034741,0.024404,0.304232,0.133238,0.059498,0.022877,0.051873,0.017326,0.021713,0.003025,0.14421,0.005197,0.026402,0.018355
17.124109,0.015591,0.116247,0.008713,0.024858,0.018008,0.276516,0.142662,0.054617,0.014837,0.064916,0.011617,0.0385,0.003353,0.157288,0.005331,0.032262,0.014684
19.419874,0.019332,0.141185,0.009665,0.034609,0.009628,0.236142,0.174519,0.031448,0.014798,0.052197,0.012923,0.03643,0.003313,0.174692,0.005094,0.037718,0.006306
17.21219,0.013867,0.111988,0.01061,0.028802,0.024255,0.315738,0.138741,0.050441,0.018823,0.057484,0.015999,0.017422,0.002091,0.146452,0.005959,0.02029,0.021038
17.332549,0.010006,0.098376,0.010756,0.037237,0.029058,0.293371,0.129754,0.046352,0.019474,0.067701,0.013615,0.019685,0.001429,0.173857,0.010334,0.02477,0.014224
16.060957,0.008986,0.109763,0.014837,0.033901,0.028868,0.365855,0.120567,0.045738,0.019672,0.043494,0.013309,0.017878,0.003018,0.12752,0.006483,0.02472,0.015391
17.700409,0.015892,0.103051,0.010885,0.03117,0.0253,0.282989,0.138592,0.055894,0.020416,0.057408,0.017819,0.02179,0.002991,0.159298,0.006218,0.023376,0.026912
17.137778,0.014054,0.114994,0.009593,0.029662,0.023445,0.293951,0.141507,0.046666,0.0214,0.05534,0.013298,0.023975,0.002651,0.148962,0.005743,0.029894,0.024866
17.90888,0.010649,0.107592,0.014507,0.0364,0.026241,0.287859,0.140822,0.05664,0.021039,0.05096,0.014526,0.027895,0.003129,0.150667,0.005333,0.034253,0.011488
17.137191,0.012676,0.102993,0.014646,0.034883,0.031069,0.306027,0.138263,0.054901,0.021765,0.050408,0.017506,0.025701,0.002988,0.132985,0.006106,0.029638,0.017444
16.746578,0.01996,0.101934,0.012,0.02554,0.021631,0.280476,0.137485,0.048196,0.018219,0.058399,0.013824,0.04986,0.007787,0.152014,0.005316,0.025052,0.022307
18.428714,0.008903,0.107489,0.012384,0.038208,0.026743,0.276767,0.148792,0.055693,0.021022,0.045668,0.016014,0.031425,0.003099,0.150882,0.006883,0.041618,0.00841
19.160821,0.012915,0.119833,0.008568,0.029237,0.01396,0.221839,0.167816,0.029801,0.012978,0.077011,0.008798,0.050533,0.007043,0.19791,0.005496,0.028715,0.007544
17.967635,0.009739,0.119456,0.014127,0.033762,0.018204,0.311075,0.146721,0.039334,0.020622,0.046873,0.013497,0.024879,0.003169,0.151519,0.005271,0.032141,0.009611
19.887674,0.01268,0.104919,0.013958,0.0324,0.025044,0.255734,0.153382,0.044901,0.01759,0.048742,0.016255,0.034959,0.002409,0.187778,0.0054,0.035163,0.008685
18.087224,0.012879,0.104264,0.012793,0.033154,0.021387,0.264033,0.152564,0.044806,0.018756,0.051896,0.015724,0.042596,0.003789,0.15853,0.006628,0.041455,0.014746
19.877242,0.00913,0.110142,0.015363,0.032028,0.019319,0.248435,0.170816,0.052617,0.023138,0.044959,0.014093,0.031665,0.004142,0.174025,0.00626,0.034591,0.009277
18.608156,0.011912,0.107361,0.013316,0.035397,0.022181,0.269512,0.154948,0.051604,0.020377,0.047396,0.015661,0.030882,0.003308,0.16134,0.006344,0.034831,0.013631
19.330965,0.010717,0.086902,0.00649,0.022635,0.015226,0.26316,0.163105,0.045851,0.019271,0.080975,0.012544,0.035079,0.003663,0.181631,0.006654,0.033079,0.013017
17.751958,0.019779,0.104759,0.010737,0.025816,0.019545,0.255335,0.15187,0.044491,0.021496,0.057346,0.014171,0.040829,0.005853,0.164619,0.005786,0.037573,0.019996
19.856176,0.009513,0.100402,0.008826,0.022679,0.015174,0.24318,0.167592,0.04236,0.017705,0.067148,0.011992,0.041541,0.004128,0.194266,0.008171,0.035691,0.009635
16.342471,0.014835,0.11402,0.016787,0.033628,0.028348,0.307743,0.139802,0.046707,0.020488,0.049482,0.01571,0.022045,0.004465,0.121446,0.0061,0.031316,0.027076
20.990314,0.008928,0.084436,0.006965,0.020484,0.014247,0.219971,0.180808,0.037865,0.017698,0.094409,0.011239,0.044387,0.005034,0.196828,0.007725,0.036725,0.012252
19.206593,0.008029,0.113042,0.010441,0.026539,0.018178,0.271885,0.169955,0.042386,0.015742,0.069645,0.012205,0.029889,0.004006,0.161409,0.006572,0.030521,0.009558
20.533594,0.018448,0.090472,0.008896,0.018998,0.012986,0.217948,0.184347,0.036988,0.015763,0.096026,0.009308,0.037385,0.00325,0.202033,0.004364,0.025483,0.017304
18.662289,0.012557,0.103169,0.009649,0.029404,0.019143,0.268879,0.156753,0.045531,0.019429,0.063098,0.012896,0.033602,0.005196,0.167015,0.008272,0.032846,0.012561
16.599509,0.015792,0.11027,0.01366,0.025104,0.020384,0.328433,0.133718,0.04203,0.020234,0.060899,0.012945,0.017641,0.002814,0.146376,0.005727,0.018093,0.025881
19.032075,0.013806,0.097303,0.011522,0.0329,0.022442,0.257332,0.152209,0.063045,0.025027,0.057679,0.021504,0.028003,0.003277,0.16282,0.00638,0.027762,0.016989
18.71507,0.00974,0.108875,0.011898,0.033241,0.018761,0.294037,0.149634,0.048368,0.020423,0.051836,0.017699,0.02588,0.003276,0.157053,0.00544,0.033423,0.010418
20.18251,0.012194,0.09196,0.009291,0.032253,0.020955,0.234505,0.162269,0.054699,0.020152,0.055052,0.017588,0.042133,0.00627,0.181472,0.008783,0.041435,0.008987
17.386022,0.018672,0.101998,0.011852,0.023118,0.020907,0.297454,0.14256,0.050529,0.021256,0.066744,0.013966,0.024145,0.002472,0.154129,0.005856,0.025476,0.018866
